514,When I'm Sixty-four,Beatles,Unkown Album
515,Yellow Submarine,Beatles,Unkown Album
3907,Yesterday,Beatles,Unkown Album
51460,You Can't Do That,Beatles,Unkown Album
51761,You Really Got a Hold On Me,Beatles,Unkown Album
51287,You Won't See Me,Beatles,Unkown Album
51480,Baby It's You,Beatles ,Unkown Album
51571,I Call Your Name,Beatles ,Unkown Album
51668,Debra,Beck,Unkown Album
51669,Sexx Laws,Beck,Unkown Album
51681,How Can You Mend a Broken Heart,Bee Gees,Unkown Album
50012,How Deep Is Your Love  [Saturday Night Fever soundtrack],Bee Gees,Unkown Album
51312,I Started a Joke,Bee Gees,Unkown Album
51052,Jive Talkin'  [Saturday Night Fever soundtrack],Bee Gees,Unkown Album
51978,Night Fever  [Saturday Night Fever soundtrack],Bee Gees,Unkown Album
50011,Stayin' Alive  [Saturday Night Fever soundtrack],Bee Gees,Unkown Album
51138,To Love Somebody,Bee Gees,Unkown Album
52246,Too Much Heaven,Bee Gees,Unkown Album
50013,You Should Be Dancing  [Saturday Night Fever soundtrack],Bee Gees,Unkown Album
50114,Heaven Is a Place on Earth,Belinda Carlyle,Unkown Album
51192,Poison,Bell Biv DeVoe,Unkown Album
52136,If I Said You Have a Beautiful Body Would You Hold It Against Me,Bellamy Brothers,Unkown Album
51752,Stand By Me,Ben E. King,Unkown Album
51020,Into the Night,Benny Mardones,Unkown Album
51621,Take My Breath Away  [Top Gun soundtrack],Berlin ,Unkown Album
52317,P.S. I Love You,Bette Midler,Unkown Album
50220,The Rose,Bette Midler,Unkown Album
51985,Halo,Beyonc_,Unkown Album
52126,Piece of My Heart,Big Brother & the Holding Company,Unkown Album
51100,In a Big Country,Big Country,Unkown Album
51518,"Corrine, Corrina",Big Joe Turner,Unkown Album
51403,"Shake, Rattle and Roll",Big Joe Turner,Unkown Album
52112,(We're Gonna) Rock Around the Clock,Bill Haley & His Comets,Unkown Album
51113,(I've Had) The Time of My Life  [Dirty Dancing soundtrack] [duet] ,Bill Medley + Jennifer Warnes,Unkown Album
51653,In the Pines,Bill Monroe,Unkown Album
51318,Ain't No Sunshine,Bill Withers,Unkown Album
52312,Grandma's Hands,Bill Withers,Unkown Album
51338,Just the Two of Us,Bill Withers,Unkown Album
51895,Lean On Me,Bill Withers,Unkown Album
51661,Lovely Day,Bill Withers,Unkown Album
51414,Use Me,Bill Withers,Unkown Album
51992,Cradle of Love,Billy Idol,Unkown Album
1302,Dancing With Myself,Billy Idol,Unkown Album
52145,Eyes Without a Face,Billy Idol,Unkown Album
51897,White Wedding [Piano Version],Billy Idol,Unkown Album
51054,Allentown,Billy Joel,Unkown Album
50288,Honesty,Billy Joel,Unkown Album
51104,It's Still Rock and Roll to Me,Billy Joel,Unkown Album
51360,Just the Way You Are,Billy Joel,Unkown Album
50219,My Life,Billy Joel,Unkown Album
51941,New York State of Mind,Billy Joel,Unkown Album
50289,Only the Good Die Young,Billy Joel,Unkown Album
50217,Piano Man,Billy Joel,Unkown Album
51651,Pressure,Billy Joel,Unkown Album
50216,Scenes From an Italian Restaurant,Billy Joel,Unkown Album
51737,Sometimes a Fantasy,Billy Joel,Unkown Album
52056,Stiletto,Billy Joel,Unkown Album
50218,The Stranger,Billy Joel,Unkown Album
52205,Uptown Girl,Billy Joel,Unkown Album
51736,You May Be Right,Billy Joel,Unkown Album
51650,Baby Grand [duet],Billy Joel + Ray Charles,Unkown Album
51153,Caribbean Queen,Billy Ocean,Unkown Album
51344,"Get Outta My Dreams, Get Into My Car",Billy Ocean,Unkown Album
51865,Loverboy,Billy Ocean,Unkown Album
51814,Suddenly,Billy Ocean,Unkown Album
51121,Me and Mrs. Jones,Billy Paul,Unkown Album
51108,Achy Breaky Heart,Billy Ray Cyrus,Unkown Album
52042,Summertime,Billy Stewart,Unkown Album
51224,At This Moment,Billy Vera and the Beaters,Unkown Album
51177,Just a Friend,Biz Markie,Unkown Album
50192,It's Oh So Quiet,Bj_rk,Unkown Album
51027,Iron Man,Black Sabbath,Unkown Album
52111,War Pigs,Black Sabbath,Unkown Album
4814,Call Me,Blondie,Unkown Album
50193,Dreaming,Blondie,Unkown Album
50195,Hanging on the Telephone,Blondie,Unkown Album
50194,Heart of Glass,Blondie,Unkown Album
51745,In the Flesh,Blondie,Unkown Album
50162,Maria,Blondie,Unkown Album
50050,One Way or Another,Blondie,Unkown Album
50196,Rapture,Blondie,Unkown Album
51450,Sunday Girl,Blondie,Unkown Album
50123,The Tide Is High,Blondie,Unkown Album
50083,Spinning Wheel,"Blood, Sweat & Tears",Unkown Album
51704,I Wanna Be a Lifeguard,Blotto,Unkown Album
3602,Don't Fear the Reaper,Blue Oyster Cult,Unkown Album
50375,Godzilla,Blue Oyster Cult,Unkown Album
52301,Girls & Boys,Blur,Unkown Album
51910,Parklife,Blur,Unkown Album
50202,Billy Don't Be a Hero,Bo Donaldson/The Haywoods,Unkown Album
51136,"Don't Think Twice, It's All Right",Bob Dylan,Unkown Album
51567,Gotta Serve Somebody,Bob Dylan,Unkown Album
51367,I Want You,Bob Dylan,Unkown Album
51447,"It's All Over Now, Baby Blue",Bob Dylan,Unkown Album
51135,Just Like a Woman,Bob Dylan,Unkown Album
51570,Lay Lady Lay,Bob Dylan,Unkown Album
51463,Positively 4th Street,Bob Dylan,Unkown Album
52289,Rainy Day Women #12 & 35,Bob Dylan,Unkown Album
51585,Subterranean Homesick Blues,Bob Dylan,Unkown Album
51251,When the Ship Comes In,Bob Dylan,Unkown Album
51253,"Get Up, Stand Up",Bob Marley,Unkown Album
51254,Jamming,Bob Marley,Unkown Album
51267,Natty Dread,Bob Marley & the Wailers,Unkown Album
51435,Mainstreet,Bob Seger,Unkown Album
51436,Night Moves,Bob Seger,Unkown Album
50091,Old Time Rock and Roll,Bob Seger,Unkown Album
50092,Turn the Page,Bob Seger,Unkown Album
50328,Ode to Billie Joe,Bobbie Gentry,Unkown Album
50374,Monster Mash,"Bobby ""Boris"" Picket",Unkown Album
51665,Every Little Step,Bobby Brown,Unkown Album
51428,My Prerogative,Bobby Brown,Unkown Album
51866,What You Won't Do For Love,Bobby Caldwell,Unkown Album
52374,Beyond the Sea,Bobby Darin,Unkown Album
51279,Dream Lover,Bobby Darin,Unkown Album
50093,Mack the Knife,Bobby Darin,Unkown Album
51308,Sunny,Bobby Hebb,Unkown Album
52152,"Julie, Do Ya Love Me",Bobby Sherman,Unkown Album
51051,Blue Velvet,Bobby Vinton,Unkown Album
51455,Mister Blue,Bobby Vinton,Unkown Album
51031,Mr. Lonely,Bobby Vinton,Unkown Album
50090,My Melody of Love,Bobby Vinton,Unkown Album
50227,Always,Bon Jovi,Unkown Album
52139,Bad Medicine,Bon Jovi,Unkown Album
50259,Living On a Prayer,Bon Jovi,Unkown Album
51545,Wanted Dead or Alive,Bon Jovi,Unkown Album
51067,You Give Love a Bad Name,Bon Jovi,Unkown Album
51394,I Can't Make You Love Me,Bonnie Raitt,Unkown Album
51514,Holding Out for a Hero,Bonnie Tyler,Unkown Album
51022,Total Eclipse of the Heart,Bonnie Tyler,Unkown Album
50278,I Don't Like Mondays,Boomtown Rats,Unkown Album
52265,I Want Candy,Bow Wow Wow,Unkown Album
51705,The Letter,"Box Tops, The",Unkown Album
1910,The Crying Game,Boy George,Unkown Album
52104,Waiting for a Star to Fall,Boy Meets Girl,Unkown Album
52280,Lido Shuffle,Boz Scaggs,Unkown Album
52303,It's a Sunshine Day,"Brady Bunch, The",Unkown Album
50085,Everything I Own,Bread,Unkown Album
50086,Make It With You,Bread,Unkown Album
52324,Cannonball,"Breeders, The",Unkown Album
51995,One Toke Over the Line,Brewer & Shipley,Unkown Album
50205,Baby One More Time,Britney Spears,Unkown Album
50184,Oops!ÉI Did It Again,Britney Spears,Unkown Album
50185,Toxic,Britney Spears,Unkown Album
51102,The Worst That Could Happen,Brooklyn Bridge,Unkown Album
51026,The Way It Is,Bruce Hornsby,Unkown Album
51657,Backstreets,Bruce Springsteen,Unkown Album
51544,Badlands,Bruce Springsteen,Unkown Album
51632,Blinded By the Light,Bruce Springsteen,Unkown Album
50264,Born in the USA,Bruce Springsteen,Unkown Album
50284,Cover Me,Bruce Springsteen,Unkown Album
51207,Dancing in the Dark,Bruce Springsteen,Unkown Album
51721,Darkness On the Edge of Town,Bruce Springsteen,Unkown Album
51243,Hungry Heart,Bruce Springsteen,Unkown Album
51869,I'm on Fire,Bruce Springsteen,Unkown Album
51759,Promised Land,Bruce Springsteen,Unkown Album
50210,The River,Bruce Springsteen,Unkown Album
51232,Thunder Road,Bruce Springsteen,Unkown Album
51225,Born to Run,Bruce Springsteen ,Unkown Album
50226,Glory Days,Bruce Springsteen ,Unkown Album
50287,Streets of Philadelphia,Bruce Springsteen ,Unkown Album
51355,Cuts Like a Knife,Bryan Adams,Unkown Album
51727,Love's Gonna Live Here,Buck Owens,Unkown Album
51515,Brown Eyed Handsome Man,Buddy Holly,Unkown Album
52339,I'm Gonna Love You Too,Buddy Holly,Unkown Album
51601,For What It's Worth,Buffalo Springfield,Unkown Album
52041,Ever Fallen In Love (With Someone You Shouldn't've),Buzzcocks,Unkown Album
51951,Promises,Buzzcocks,Unkown Album
51439,I'll Feel a Whole Lot Better,"Byrds, The",Unkown Album
51612,My Back Pages,"Byrds, The",Unkown Album
52088,Convoy,C. W. McCall,Unkown Album
51627,Minnie the Moocher,Cab Calloway,Unkown Album
51569,Speedoo,Cadillacs,Unkown Album
51376,I Will Survive,Cake,Unkown Album
51214,Short Skirt/Long Jacket,Cake,Unkown Album
51262,Word Up,Cameo,Unkown Album
52090,Take the Skinheads Bowling,Camper Van Beethoven,Unkown Album
50245,O Canada,Canada National Anthem,Unkown Album
51809,Going Up the Country,Canned Heat,Unkown Album
51637,Cool Jerk,"Capitols, The",Unkown Album
50165,Love Will Keep Us Together,Captain & Tennille,Unkown Album
51577,Lovefool,"Cardigans, The",Unkown Album
50247,O Fortuna [from Carmina Burana],Carl Orff,Unkown Album
51507,Coming Around Again,Carly Simon,Unkown Album
50300,Nobody Does It Better,Carly Simon,Unkown Album
51204,You're So Vain,Carly Simon,Unkown Album
51898,Beautiful,Carole King,Unkown Album
51595,I Feel the Earth Move,Carole King,Unkown Album
1615,Close to You,Carpenters,Unkown Album
3310,For All We Know,Carpenters,Unkown Album
3311,Hurting Each Other,Carpenters,Unkown Album
50077,Rainy Days and Mondays,Carpenters,Unkown Album
3309,Superstar,Carpenters,Unkown Album
52077,There's a Kind of Hush,Carpenters,Unkown Album
51826,Top of the World,Carpenters,Unkown Album
3308,We've Only Just Begun,Carpenters,Unkown Album
51425,Drive,"Cars, The",Unkown Album
50279,Just What I Needed,"Cars, The",Unkown Album
51890,Magic,"Cars, The",Unkown Album
51426,You Might Think,"Cars, The",Unkown Album
50230,Father and Son,Cat Stevens,Unkown Album
52284,Oh Very Young,Cat Stevens,Unkown Album
50228,Peace Train,Cat Stevens,Unkown Album
50229,Wild World,Cat Stevens,Unkown Album
51364,Memory  [Cats soundtrack],Cats soundtrack,Unkown Album
51173,Fuck You,Cee-Lo Green,Unkown Album
